continent,country,country_name,name,lat,lng,population,capital
AS,AF,Afghanistan,Sar-e Pul,36.21544,65.93249,52121,Kabul
AS,AF,Afghanistan,Sang-e Chārak,35.84972,66.43694,15377,Kabul
AS,AF,Afghanistan,Aībak,36.26468,68.01551,47823,Kabul
AS,AF,Afghanistan,Rustāq,37.12604,69.83045,25636,Kabul
AS,AF,Afghanistan,Qarqīn,37.41853,66.04358,15018,Kabul
AS,AF,Afghanistan,Qarāwul,37.21959,68.7802,24544,Kabul
AS,AF,Afghanistan,Pul-e Khumrī,35.94458,68.71512,56369,Kabul
AS,AF,Afghanistan,Paghmān,34.58787,68.95091,49157,Kabul
AS,AF,Afghanistan,Nīlī,33.72178,66.13023,30058,Kabul
AS,AF,Afghanistan,Nahrīn,36.0649,69.13343,22363,Kabul
AS,AF,Afghanistan,Maymana,35.92139,64.78361,75900,Kabul
AS,AF,Afghanistan,Mehtar Lām,34.67139,70.20944,17345,Kabul
AS,AF,Afghanistan,Mazār-e Sharīf,36.70904,67.11087,523300,Kabul
AS,AF,Afghanistan,Lashkar Gāh,31.59382,64.37161,43934,Kabul
AS,AF,Afghanistan,Kushk,33.29565,61.95221,16952,Kabul
AS,AF,Afghanistan,Kunduz,36.72895,68.857,161902,Kabul
AS,AF,Afghanistan,Khōst,33.33951,69.92041,96123,Kabul
AS,AF,Afghanistan,Khulm,36.69736,67.69826,64933,Kabul
AS,AF,Afghanistan,Khāsh,31.52919,62.79055,15133,Kabul
AS,AF,Afghanistan,Khān Neshīn,30.5488,63.7888,25600,Kabul
AS,AF,Afghanistan,Khanabad,36.68304,69.11279,71531,Kabul
AS,AF,Afghanistan,Karukh,34.48108,62.5863,17484,Kabul
AS,AF,Afghanistan,Kandahār,31.61332,65.71013,523300,Kabul
AS,AF,Afghanistan,Kabul,34.52813,69.17233,4434550,Kabul
AS,AF,Afghanistan,Jalālābād,34.42647,70.45153,271900,Kabul
AS,AF,Afghanistan,Jabal os Saraj,35.11833,69.23778,15032,Kabul
AS,AF,Afghanistan,Herāt,34.34817,62.19967,574300,Kabul
AS,AF,Afghanistan,Ghormach,35.73062,63.78264,30000,Kabul
AS,AF,Afghanistan,Ghazni,33.55391,68.42096,141000,Kabul
AS,AF,Afghanistan,Gereshk,31.82089,64.57005,43588,Kabul
AS,AF,Afghanistan,Gardez,33.59744,69.22592,103601,Kabul
AS,AF,Afghanistan,Fayzabad,37.11664,70.58002,44421,Kabul
AS,AF,Afghanistan,Farah,32.37451,62.11638,43561,Kabul
AS,AF,Afghanistan,Eslam Qaleh,34.66667,61.06667,18086,Kabul
AS,AF,Afghanistan,Charikar,35.01361,69.17139,53676,Kabul
AS,AF,Afghanistan,Baraki Barak,33.96744,68.9492,22305,Kabul
AS,AF,Afghanistan,Bāmyān,34.82156,67.82734,61863,Kabul
AS,AF,Afghanistan,Balkh,36.75635,66.8972,114883,Kabul
AS,AF,Afghanistan,Baghlān,36.13068,68.70829,108449,Kabul
AS,AF,Afghanistan,Ārt Khwājah,37.08571,69.47958,18623,Kabul
AS,AF,Afghanistan,Āsmār,35.03333,71.35809,15708,Kabul
AS,AF,Afghanistan,Asadābād,34.87311,71.14697,48400,Kabul
AS,AF,Afghanistan,Andkhōy,36.95293,65.12376,29208,Kabul
AS,AF,Afghanistan,Bāzārak,35.31292,69.51519,65000,Kabul
AS,AF,Afghanistan,Markaz-e Woluswalī-ye Āchīn,34.12583,70.70778,15098,Kabul
NA,AG,Antigua and Barbuda,Saint John’s,17.12096,-61.84329,24226,St. John's
NA,AI,Anguilla,The Valley,18.21704,-63.05783,2035,The Valley
EU,AL,Albania,Sarandë,39.87534,20.00477,22613,Tirana
EU,AL,Albania,Pogradec,40.9025,20.6525,46070,Tirana
EU,AL,Albania,Librazhd,41.17944,20.315,23312,Tirana
EU,AL,Albania,Kukës,42.07694,20.42194,36125,Tirana
EU,AL,Albania,Korçë,40.61861,20.78083,58259,Tirana
EU,AL,Albania,Gjirokastër,40.07583,20.13889,23437,Tirana
EU,AL,Albania,Elbasan,41.11138,20.08224,100903,Tirana
EU,AL,Albania,Bulqizë,41.49167,20.22194,26826,Tirana
EU,AL,Albania,Vlorë,40.4696,19.48379,115261,Tirana
EU,AL,Albania,Tirana,41.32744,19.81866,418495,Tirana
EU,AL,Albania,Shkodër,42.06828,19.51258,95553,Tirana
EU,AL,Albania,Peqin,41.04611,19.75111,16580,Tirana
EU,AL,Albania,Patos Fshat,40.64278,19.65083,22679,Tirana
EU,AL,Albania,Patos,40.68333,19.61944,16000,Tirana
EU,AL,Albania,Lushnjë,40.94194,19.705,63135,Tirana
EU,AL,Albania,Lezhë,41.78361,19.64361,18695,Tirana
EU,AL,Albania,Kuçovë,40.80028,19.91667,31077,Tirana
EU,AL,Albania,Krujë,41.50917,19.79278,51191,Tirana
EU,AL,Albania,Kavajë,41.18556,19.55694,30012,Tirana
EU,AL,Albania,Fier-Çifçi,40.71667,19.56667,60995,Tirana
EU,AL,Albania,Fier,40.7251,19.55823,56297,Tirana
EU,AL,Albania,Durrës,41.32355,19.45469,195920,Tirana
EU,AL,Albania,Berat,40.70583,19.95222,62232,Tirana
AS,AM,Armenia,Kapan,39.20762,46.40678,32900,Yerevan
AS,AM,Armenia,Goris,39.51111,46.34168,17483,Yerevan
AS,AM,Armenia,Artashat,39.95484,44.54874,22800,Yerevan
AS,AM,Armenia,Ararat,39.85494,44.6947,16986,Yerevan
AS,AM,Armenia,Yerevan,40.17765,44.5126,1141100,Yerevan
AS,AM,Armenia,Vagharshapat,40.16557,44.29462,45842,Yerevan
AS,AM,Armenia,Sevan,40.548,44.95314,18951,Yerevan
AS,AM,Armenia,Masis,40.06595,44.43669,20774,Yerevan
AS,AM,Armenia,Vanadzor,40.8074,44.49704,78100,Yerevan
AS,AM,Armenia,Gavar,40.35398,45.12386,18900,Yerevan
AS,AM,Armenia,Ijevan,40.88037,45.14776,19500,Yerevan
AS,AM,Armenia,Hrazdan,40.5169,44.75591,49500,Yerevan
AS,AM,Armenia,Armavir,40.15553,44.0388,29700,Yerevan
